City,CrimeType,CrimesPerLakh
Delhi,Theft,540
Delhi,Robbery,180
Delhi,Assault,310
Delhi,Rape,48
Delhi,Murder,6.2
Delhi,CyberCrime,220
Mumbai,Theft,420
Mumbai,Robbery,130
Mumbai,Assault,260
Mumbai,Rape,32
Mumbai,Murder,3.8
Mumbai,CyberCrime,190
Bengaluru,Theft,390
Bengaluru,Robbery,110
Bengaluru,Assault,240
Bengaluru,Rape,34
Bengaluru,Murder,4.1
Bengaluru,CyberCrime,260
Hyderabad,Theft,360
Hyderabad,Robbery,95
Hyderabad,Assault,220
Hyderabad,Rape,28
Hyderabad,Murder,3.4
Hyderabad,CyberCrime,210
Chennai,Theft,310
Chennai,Robbery,80
Chennai,Assault,200
Chennai,Rape,22
Chennai,Murder,2.9
Chennai,CyberCrime,170
